Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,437884,250,1,NATGASMINI,NATGASMINI24OCT24C230,24-OCT-2024,OPTFUT,CE,230,0.05,
MCX,437885,250,1,NATGASMINI,NATGASMINI24OCT24C235,24-OCT-2024,OPTFUT,CE,235,0.05,
MCX,437886,250,1,NATGASMINI,NATGASMINI24OCT24C240,24-OCT-2024,OPTFUT,CE,240,0.05,
MCX,437887,250,1,NATGASMINI,NATGASMINI24OCT24C245,24-OCT-2024,OPTFUT,CE,245,0.05,
MCX,437888,250,1,NATGASMINI,NATGASMINI24OCT24C250,24-OCT-2024,OPTFUT,CE,250,0.05,
MCX,437889,250,1,NATGASMINI,NATGASMINI24OCT24C255,24-OCT-2024,OPTFUT,CE,255,0.05,
MCX,437890,250,1,NATGASMINI,NATGASMINI24OCT24C260,24-OCT-2024,OPTFUT,CE,260,0.05,
MCX,437891,250,1,NATGASMINI,NATGASMINI24OCT24C265,24-OCT-2024,OPTFUT,CE,265,0.05,
MCX,437892,250,1,NATGASMINI,NATGASMINI24OCT24C270,24-OCT-2024,OPTFUT,CE,270,0.05,
MCX,437893,250,1,NATGASMINI,NATGASMINI24OCT24C275,24-OCT-2024,OPTFUT,CE,275,0.05,
MCX,437894,250,1,NATGASMINI,NATGASMINI24OCT24C280,24-OCT-2024,OPTFUT,CE,280,0.05,
MCX,437895,250,1,NATGASMINI,NATGASMINI24OCT24C285,24-OCT-2024,OPTFUT,CE,285,0.05,
MCX,437896,250,1,NATGASMINI,NATGASMINI24OCT24C290,24-OCT-2024,OPTFUT,CE,290,0.05,
MCX,437897,250,1,NATGASMINI,NATGASMINI24OCT24C295,24-OCT-2024,OPTFUT,CE,295,0.05,
MCX,437898,250,1,NATGASMINI,NATGASMINI24OCT24C300,24-OCT-2024,OPTFUT,CE,300,0.05,
MCX,437899,250,1,NATGASMINI,NATGASMINI24OCT24P220,24-OCT-2024,OPTFUT,PE,220,0.05,
